epoch,batch_size,lr,tloss,vloss,confidence,roc_acc,optimizer
1,32,[6.000000000000001e-05],0.697275,0.686274,0.0,0.618539,SGD
2,32,[6.300000000000001e-05],0.609519,0.813196,0.303194,0.802684,SGD
3,32,[6.6e-05],0.447611,0.491263,0.435085,0.915174,SGD
4,32,[6.900000000000001e-05],0.372321,0.474269,0.50425,0.921484,SGD
5,32,[7.2e-05],0.313315,0.493764,0.565688,0.931008,SGD
6,32,[7.500000000000001e-05],0.276305,0.355811,0.56762,0.950985,SGD
7,32,[7.8e-05],0.239797,0.418847,0.584364,0.949212,SGD
8,32,[8.1e-05],0.20834,0.32595,0.621587,0.954787,SGD
9,32,[8.400000000000001e-05],0.197768,0.419589,0.626481,0.951728,SGD
10,32,[8.7e-05],0.183486,0.358736,0.652499,0.957538,SGD
11,32,[9e-05],0.171088,0.30071,0.670144,0.963271,SGD
12,32,[8.65e-05],0.160261,0.536489,0.639361,0.962564,SGD
13,32,[8.3175e-05],0.161875,0.306185,0.691139,0.971039,SGD
14,32,[8.001625e-05],0.142342,0.371942,0.682767,0.965276,SGD
15,32,[7.70154375e-05],0.130507,0.34538,0.722952,0.968905,SGD
16,32,[7.416466562499999e-05],0.136282,0.269522,0.718444,0.970388,SGD
17,32,[7.145643234375e-05],0.113917,0.23683,0.774214,0.972313,SGD
18,32,[6.888361072656249e-05],0.115906,0.216784,0.765971,0.973783,SGD
19,32,[6.643943019023437e-05],0.108048,0.244793,0.746265,0.976951,SGD
20,32,[6.411745868072265e-05],0.111457,0.361824,0.736476,0.972121,SGD
21,32,[6.191158574668652e-05],0.100001,0.289704,0.744719,0.971604,SGD
22,32,[5.981600645935219e-05],0.098183,0.29973,0.751417,0.973062,SGD
23,32,[5.782520613638457e-05],0.096484,0.27832,0.767388,0.975875,SGD
24,32,[5.593394582956534e-05],0.087567,0.33244,0.735832,0.971976,SGD
25,32,[5.413724853808707e-05],0.093234,0.354895,0.739181,0.973476,SGD
26,32,[5.2430386111182724e-05],0.084961,0.266995,0.778207,0.976331,SGD
27,32,[5.080886680562358e-05],0.078648,0.36332,0.756054,0.971681,SGD
28,32,[4.92684234653424e-05],0.08712,0.215228,0.792504,0.977192,SGD
29,32,[4.780500229207528e-05],0.079591,0.242106,0.810665,0.975559,SGD
30,32,[4.641475217747151e-05],0.073706,0.261591,0.786579,0.978908,SGD
31,32,[4.5094014568597934e-05],0.07362,0.229832,0.823287,0.978039,SGD
32,32,[4.3839313840168044e-05],0.071632,0.250272,0.790443,0.977758,SGD
33,32,[4.2647348148159634e-05],0.067526,0.269957,0.794307,0.976832,SGD
34,32,[4.1514980740751654e-05],0.07021,0.316636,0.789541,0.975936,SGD
35,32,[4.0439231703714074e-05],0.064651,0.270693,0.781427,0.978951,SGD
36,32,[3.941727011852837e-05],0.061942,0.306845,0.78645,0.974243,SGD
37,32,[3.844640661260195e-05],0.063512,0.455652,0.734802,0.97421,SGD
38,32,[3.7524086281971844e-05],0.061088,0.351221,0.766744,0.975078,SGD
39,32,[3.6647881967873256e-05],0.063041,0.288539,0.799845,0.978317,SGD
40,32,[3.581548786947959e-05],0.05898,0.399165,0.776919,0.973213,SGD
41,32,[2.0534153171635264e-05],0.055019,0.337293,0.786579,0.975759,SGD
42,32,[2.0454030195889976e-05],0.053813,0.290986,0.811824,0.978806,SGD
43,32,[2.038592566650648e-05],0.047636,0.353101,0.793019,0.976822,SGD
44,32,[2.032803681653051e-05],0.048881,0.285587,0.813241,0.979803,SGD
45,32,[2.027883129405093e-05],0.044964,0.32085,0.799201,0.979862,SGD
46,32,[2.0237006599943292e-05],0.045483,0.321783,0.807187,0.979188,SGD
47,32,[2.02014556099518e-05],0.044141,0.219179,0.844281,0.981117,SGD
48,32,[2.0171237268459028e-05],0.045949,0.3243,0.800876,0.97726,SGD
49,32,[2.0145551678190175e-05],0.042142,0.299064,0.802421,0.97978,SGD
50,32,[2.012371892646165e-05],0.045437,0.370815,0.776404,0.981454,SGD
51,32,[2.0105161087492403e-05],0.042033,0.312997,0.80577,0.977713,SGD
52,32,[2.0089386924368542e-05],0.040671,0.31915,0.805384,0.977636,SGD
53,32,[2.007597888571326e-05],0.041159,0.36151,0.794178,0.975157,SGD
54,32,[2.006458205285627e-05],0.04483,0.465208,0.767903,0.973473,SGD
55,32,[2.0054894744927832e-05],0.040301,0.420654,0.77679,0.977996,SGD
56,32,[4.0033328952277616e-05],0.040822,0.301389,0.807702,0.980555,SGD
57,32,[4.0028329609435974e-05],0.051456,0.416426,0.765327,0.975444,SGD
58,32,[4.002408016802058e-05],0.059095,0.379205,0.800361,0.977202,SGD
59,32,[4.002046814281749e-05],0.054492,0.297753,0.812854,0.976011,SGD
60,32,[4.001739792139487e-05],0.051541,0.332334,0.795595,0.973,SGD
61,32,[4.001478823318564e-05],0.051069,0.329532,0.804611,0.971244,SGD
62,32,[4.0012569998207795e-05],0.056504,0.461489,0.76713,0.973351,SGD
63,32,[4.001068449847662e-05],0.053565,0.358773,0.781556,0.974199,SGD
64,32,[4.000908182370513e-05],0.049096,0.338539,0.786321,0.974317,SGD
