epoch,batch_size,lr,tloss,vloss
1,16,0.005,0.6701823640823364,0.6258486180064734
2,16,0.005,0.5582683004856109,0.6347642289650719
3,16,0.005,0.4954882285118103,0.4950813538446781
4,16,0.005,0.44708854951858523,0.5017439406832487
5,16,0.005,0.427321470451355,0.46765428595129777
6,16,0.005,0.3927773930549622,0.5294173717380911
7,16,0.005,0.37840485153198244,0.4929720064114764
8,16,0.005,0.3479403712272644,0.4756314861230776
9,16,0.005,0.34377555322647096,0.48589731526896385
10,16,0.005,0.32515048129558566,0.4957931580450402
11,16,0.005,0.31638953790664676,0.6172899914427279
12,16,0.005,0.3042287849903107,0.48301232771280594
13,16,0.005,0.28967744455337524,0.5448001599064305
14,16,0.005,0.28621372542381285,0.640389971084227
15,16,0.005,0.27856227762699126,0.5785073430366384
16,16,0.005,0.26957706632614137,0.4881853630775251
17,16,0.005,0.2647331566095352,0.4900047479255166
18,16,0.001,0.20844749367237092,0.4530248787609082
19,16,0.001,0.19284055018424986,0.44735488861692424
20,16,0.001,0.183050273001194,0.460208723051058
21,16,0.0007,0.17137490174770356,0.44687504158622915
22,16,0.0007,0.15860454967617987,0.47682696309789213
23,16,0.0007,0.16004177869558334,0.4727404137400876
24,16,0.0007,0.1591372776865959,0.47325710550608086
25,16,0.0007,0.1551597931742668,0.50062021716256
